id,county,units,value,income,costs,taxes
19065,"Fayette County, Iowa",3235,92200,65817,936,1282
19067,"Floyd County, Iowa",2752,104500,66147,960,1336
19069,"Franklin County, Iowa",1553,89500,59150,959,1293
19071,"Fremont County, Iowa",1247,104300,70579,975,1329
19073,"Greene County, Iowa",1558,83800,61990,988,1212
19075,"Grundy County, Iowa",2231,130300,76621,1085,1475
19077,"Guthrie County, Iowa",1957,115900,69952,1107,1440
19079,"Hamilton County, Iowa",2870,101200,70377,1004,1602
19081,"Hancock County, Iowa",1876,106300,67546,976,1223
19083,"Hardin County, Iowa",2870,97000,74896,965,1253
19085,"Harrison County, Iowa",2627,117700,76784,1093,1461
19087,"Henry County, Iowa",3031,102100,68235,1014,1551
19089,"Howard County, Iowa",1656,108900,61809,1019,1372
19091,"Humboldt County, Iowa",1472,93900,75357,982,1425
19093,"Ida County, Iowa",1199,87400,62472,768,937
19095,"Iowa County, Iowa",3060,146800,72975,1190,1852
19097,"Jackson County, Iowa",3303,128200,70779,1065,1535
19099,"Jasper County, Iowa",6299,121400,75906,1121,1892
19101,"Jefferson County, Iowa",2372,114600,65170,1030,1666
19103,"Johnson County, Iowa",22800,213200,92915,1488,3387
19105,"Jones County, Iowa",3414,137900,72461,1153,1617
19107,"Keokuk County, Iowa",1729,85700,64965,979,1224
19109,"Kossuth County, Iowa",2567,99800,66313,920,1000
19111,"Lee County, Iowa",5542,92400,63599,949,1401
19113,"Linn County, Iowa",43787,153800,84428,1286,2655
19115,"Louisa County, Iowa",1775,103200,70757,1010,1426
19117,"Lucas County, Iowa",1586,100600,67794,966,1634
19119,"Lyon County, Iowa",2113,129500,71802,1042,1351
19121,"Madison County, Iowa",3152,174300,80577,1385,2490
19123,"Mahaska County, Iowa",3560,110400,64708,1020,1573
19125,"Marion County, Iowa",5888,150300,78040,1151,2010
19127,"Marshall County, Iowa",6454,107500,68146,1068,1696
19129,"Mills County, Iowa",2751,163500,87639,1400,2389
19131,"Mitchell County, Iowa",1836,115600,66466,1009,1356
19133,"Monona County, Iowa",1393,87500,64844,869,939
19135,"Monroe County, Iowa",1098,119700,63590,1032,1535
19137,"Montgomery County, Iowa",1525,85500,57669,920,1445
19139,"Muscatine County, Iowa",7268,131700,77382,1223,2152
19141,"O'Brien County, Iowa",2211,112000,75820,964,1279
19143,"Osceola County, Iowa",815,84000,62569,869,876
19145,"Page County, Iowa",2529,87100,64612,974,1400
19147,"Palo Alto County, Iowa",1503,87900,66836,864,1103
19149,"Plymouth County, Iowa",4484,143400,78526,1115,1626
19151,"Pocahontas County, Iowa",943,78200,72470,823,845
19153,"Polk County, Iowa",85917,166100,85975,1359,3105
19155,"Pottawattamie County, Iowa",16035,129900,74130,1180,2337
19157,"Poweshiek County, Iowa",2903,128000,71438,1141,1738
19159,"Ringgold County, Iowa",746,97800,60395,1039,1352
19161,"Sac County, Iowa",1575,85500,63550,870,929
19163,"Scott County, Iowa",31635,154800,82447,1237,2485
19165,"Shelby County, Iowa",2060,106100,68200,1046,1417
19167,"Sioux County, Iowa",5654,155800,76954,1128,1714
19169,"Story County, Iowa",12486,171000,90101,1343,2618
19171,"Tama County, Iowa",2663,102700,67095,1034,1397
19173,"Taylor County, Iowa",955,82000,59770,899,1109
19175,"Union County, Iowa",2251,92500,67355,961,1634
